-67,-85,-76,330.0,4.0,0.0
-72,-65,-84,330.0,0.5,180.0
-76,-77,-73,330.0,1.0,180.0
-67,-77,-71,330.0,1.5,180.0
-72,-86,-75,330.0,2.0,180.0
-66,-74,-72,330.0,2.5,180.0
-66,-84,-79,330.0,3.0,180.0
-70,-92,-82,330.0,3.5,180.0
-68,-83,-83,330.0,4.0,180.0
-81,-66,-72,0.0,0.5,0.0
-80,-65,-74,0.0,1.0,0.0
-80,-73,-88,0.0,1.5,0.0
-86,-81,-73,0.0,2.0,0.0
-74,-75,-70,0.0,2.5,0.0
-60,-70,-72,0.0,3.0,0.0
-64,-83,-81,0.0,3.5,0.0
-48,-81,-76,0.0,4.0,0.0
-49,-90,-79,0.0,4.5,0.0
-50,-80,-85,0.0,5.0,0.0
-53,-80,-90,0.0,5.5,0.0
-51,-81,-81,0.0,6.0,0.0
-54,-90,-80,0.0,6.5,0.0
-57,-78,-82,0.0,7.0,0.0
-56,-77,-90,0.0,7.5,0.0
-66,-80,-82,0.0,8.0,0.0
-54,-82,-76,0.0,8.5,0.0
-60,-81,-89,0.0,9.0,0.0
-57,-79,-76,0.0,9.5,0.0
-55,-80,-72,0.0,10.0,0.0
0,-71,-70,0.0,10.0,180.0
-79,-74,-77,0.0,0.5,180.0
-87,-68,-78,0.0,1.0,180.0
-64,-81,-73,0.0,1.5,180.0
-74,-80,-74,0.0,2.0,180.0
-61,-70,-76,0.0,2.5,180.0
-62,-74,-79,0.0,3.0,180.0
-78,-79,-88,0.0,3.5,180.0
-66,-86,-86,0.0,4.0,180.0
-66,-78,-86,0.0,4.5,180.0
-64,-81,-88,0.0,5.0,180.0
-63,-86,-94,0.0,5.5,180.0
-68,-95,0,0.0,6.0,180.0
-69,-90,-86,0.0,6.5,180.0
-70,-86,-89,0.0,7.0,180.0
-72,-93,-87,0.0,7.5,180.0
-66,-84,-88,0.0,8.0,180.0
-77,-84,-94,0.0,8.5,180.0
-70,-88,-98,0.0,9.0,180.0
-72,-81,-82,0.0,9.5,180.0
-74,-84,-87,0.0,10.0,180.0
-81,-77,-82,90.0,0.5,0.0
-78,-67,-68,90.0,1.0,0.0
-81,-75,0,90.0,1.5,0.0
-78,-66,-72,90.0,2.0,0.0
-88,-69,-70,90.0,1.5,0.0
-84,-76,-70,90.0,0.5,180.0
-73,-76,-90,90.0,1.0,180.0
-93,-68,-75,90.0,1.5,180.0
-79,-80,-78,90.0,2.0,180.0
-87,-60,-69,120.0,0.5,0.0
-87,-68,-67,120.0,1.0,0.0
-86,-63,-68,120.0,1.5,0.0
-91,-71,-68,120.0,2.0,0.0
-95,-68,-77,120.0,2.5,0.0
-87,-72,-90,120.0,3.0,0.0
-87,-78,-71,120.0,3.5,0.0
-87,-66,-70,120.0,4.0,0.0
-90,-70,-66,120.0,4.5,0.0
-93,-64,-63,120.0,5.0,0.0
-87,-67,-66,120.0,5.5,0.0
-90,-77,-61,120.0,6.0,0.0
-96,-83,-64,120.0,6.5,0.0
-85,0,-59,120.0,7.0,0.0
-91,-69,-59,120.0,7.5,0.0
-88,-69,-58,120.0,8.0,0.0
-72,-72,-73,120.0,0.5,180.0
-77,-65,-69,120.0,1.0,180.0
-80,-65,-74,120.0,1.5,180.0
-72,-67,-71,120.0,2.0,180.0
-79,-80,-68,120.0,2.5,180.0
-85,-72,-66,120.0,3.0,180.0
-77,-72,-65,120.0,3.5,180.0
-78,-77,-69,120.0,4.0,180.0
-84,-76,-77,120.0,4.5,180.0
-86,-67,-64,120.0,5.0,180.0
